Unnamed: 0_level_0,Active Gross Power,Reactive Gross Power,Exhaust Pressure Turbine CW,Exhaust Pressure Turbine CCW,Unnamed: 5_level_0,Unnamed: 6_level_0,Main Steam Press,Main Steam Temp,Brine Header Press,Brine Header Temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,Separator Temp,Separator Pressure,Steam Flow,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,Separator Temp,Separator Pressure,Steam Flow,Main Steam Flowrate,Brine Flowrate,Total Flowrate,Injection Press,Injection Flow,Injection Temp,Valve open,WHP,Brine Header Pressure,Brine Header Temperature,Header Reinjection Pump Temperature,Header Reinjection Pump Pressure,"Opening 
CV-A","Opening 
CV-B",Delta Pressure,Outlet Temp,Opening Brine Dump Valve A,Opening Brine Dump Valve B,Opening Brine Dump Valve A,Opening Brine Dump Valve B,Opening Steam Dump Valve A,Opening Steam Dump Valve B
Unnamed: 0_level_1,MW,MVAR,Bara,Bara,oC,kg/MW,barg,oC,barg,oC,barg,%,barg,oC,barg.1,%.1,barg.1,oC.1,barg.2,%.2,barg.2,oC.2,barg.3,%.3,barg.3,oC.3,oC,barg,kg/s,barg.4,%.4,barg.4,oC.4,barg.5,%.5,barg.5,oC.5,oC.1,barg.1,kg/s.1,kg/s,kg/s,kg/s,bara,kg/s,oC,%,barg.6,barg,oC,oC,Bara,%,%,Barg,oC,%,%,%.1,%.1,%,%
,WT,VART,PT9206,PT9256,TE93X0,,PT2504x,TT2501,PT2503,TT2502,PT2006A,PV2005A,PT2008A,TT2007A,PT2006B,PV2005B,PT2008B,TT2007B,PT2006C,PV2005C,PT2008C,TT2007C,PT2006D,PV2005D,PT2008D,TT2007D,TT2207,PT2208,FT2220,PT2106A,PV2105A,PT2108A,TT2107A,PT2106B,PV2105B,PT2108B,TT2107B,TT2307,PT2308,FT2320,FT2527,FT2505,,PT2702A,FT2703A,TT2704A,PV2705A,PT2703A,PT-2503,TT-2502,TT-2601,PT-2603,PV-2503A,PV-2503B,PV-2503,TE-9124,LV-2227A,LV-2227B,LV-2327A,LV-2327A,PV-2430A,PV-2430A
2025-06-18 01:00:00,33.9864342,3.0716818,0.8212323,0.8241827,15.4656696,4.205141557371081,12.6956258,192.94471,16.3925233,193.625474,27.8703676,17.9908493,13.7628323,197.313567,30.4150885,11.967007,13.5856009,195.418215,18.3361552,45.0030222,13.9406342,195.5990056,18.9558642,45.0517092,13.869846,197.1111967,194.5466338,13.1132836,43.815294654527776,5.9516283,9.9684025,0,77.8966309,21.9123591,50.0817968,13.3710495,190.9884383,194.4155089,13.0294055,3.5919895188055553,48.1939675435,94.72379929777777,142.91776684127777,12.3305737,134.92243357580557,94.7409082,14.6040543,7.0277766,16.3925233,193.625474,88.7221305,15.0799238,0.9680493,0.239698,1.3108307,93.7636879,0.1055665,0.1911319,1.1926342,0.0836576,0.6447422,0.8594962
2025-06-18 02:00:00,34.0967919,3.3050496,0.8148093,0.8120682,14.926636,4.105132055387168,12.7640599,193.1898729,16.1937188,193.757393,27.9439952,17.9953747,13.8212428,197.5488963,30.5796908,11.9703844,13.6460658,195.5506557,18.3263403,45.0027023,14.0000267,195.7639993,18.9593595,45.0650336,13.9302351,197.3584365,194.798951,13.1841092,43.863735693777784,6.0112749,9.9691502,0,77.764398,21.9084437,49.895258,13.4328008,191.1747209,194.6545861,13.0966396,3.6374541396666666,47.80359749844444,92.1682359161111,139.97183341455553,12.0068079,133.04225966322224,95.3681193,14.6041866,6.8418916,16.1937188,193.757393,88.6664488,14.8676192,0.9737156,0.2366957,1.3241551,92.9803643,0.1052331,0.2020643,0.6545527,0.0834549,0.6443356,1.1872985
2025-06-18 03:00:00,34.1767175,3.5387101,0.8018398,0.7969895,14.5202478,4.134204630469558,12.8489024,193.4419646,16.2884232,193.7903453,28.2640285,17.9865792,13.9036345,197.7833069,30.6927719,11.9646862,13.7227999,195.6547503,18.3563795,45.0027638,14.07617,195.9621944,18.9866739,45.0693858,14.0078612,197.5682787,195.0365651,13.2670967,43.811784135277776,6.0343892,9.9700323,0,77.6436147,21.9153735,49.704042,13.5105441,191.3342804,194.8886692,13.1787661,3.83247133425,48.163486799194445,93.13005694355556,141.29354374275,12.0906876,133.75466910997224,95.7900383,14.6045477,6.8938262,16.2884232,193.7903453,88.8971316,14.947543,0.9761301,0.234275,1.3390065,93.4844057,0.105013,0.2088939,0.7181488,0.0833524,0.6430298,1.6267318
2025-06-18 04:00:00,34.0578461,4.5791905,0.7593522,0.7574893,13.9433144,4.169773293475635,12.8255022,193.3895083,16.4163266,193.8549584,27.8009859,17.5076628,13.8647586,197.6606425,30.7940076,11.9562585,13.6884382,195.6102347,18.3430037,45.0037403,14.0431911,195.9109579,18.96893,45.0668107,13.9763274,197.4773338,194.9501309,13.2330777,43.291106649305554,5.9475603,9.9696323,0,77.5389612,21.9216838,49.1952565,13.4872078,191.3334828,194.8382433,13.1534781,3.6721976071944447,47.44924445908333,94.564252642,142.01349710108332,12.1419483,134.48101647508335,95.2588723,14.6046927,6.8797803,16.4163266,193.8549584,88.3848233,15.0538474,0.9758934,0.2332912,1.3607869,93.7879127,0.1048334,0.2122467,1.1449966,0.0831854,0.6407209,1.6765252
2025-06-18 05:00:00,34.4136027,4.9591994,0.7274687,0.732872,13.7300465,3.9926220056840753,12.9281813,193.7634321,16.1720994,194.0397052,28.3479874,17.0396342,13.9702059,198.0574894,30.9016396,11.9543341,13.7917895,196.0105785,18.3729126,45.0045816,14.1410313,196.2213595,18.9827766,45.0649784,14.0754095,197.8251802,195.3379332,13.3422432,43.69665893222222,5.9224668,9.9694111,0,77.4496417,21.9306481,48.1163062,13.5844796,191.66354,195.2107639,13.2550038,3.1431088596666665,45.64456022138889,91.75594721350001,137.4005074348889,11.7381287,132.52429924958335,94.6326024,14.604464,6.6270787,16.1720994,194.0397052,87.7366275,14.8091023,0.9712251,0.2355107,1.3614564,92.4709378,0.1049574,0.2106678,0.494225,0.0828113,0.6379058,2.4406648
2025-06-18 06:00:00,34.4718603,4.633848,0.7238604,0.7321434,14.2377311,4.08265777124225,12.9111648,193.6532353,16.3665111,193.9859895,28.185008,17.0391836,13.9447202,197.9531334,30.9977098,11.9596232,13.7729882,195.9442473,18.3866818,45.0122987,14.1156433,196.1608904,19.0069452,45.0625431,14.0614782,197.7220633,195.2215106,13.320801,43.53885633541666,5.7198221,9.9698301,0,77.4132005,21.9424407,48.4885538,13.5697966,191.5672251,195.0821286,13.2376461,3.219543841694444,46.18349529197222,94.553313051,140.7368083429722,12.0291498,134.46541843272223,94.6228312,14.6049521,6.783225,16.3665111,193.9859895,88.3972762,14.9840434,0.9611736,0.2431052,1.3811328,92.8016477,0.1056132,0.2043782,0.8124127,0.0834629,0.6330036,2.3607252
2025-06-18 07:00:00,34.1180478,5.4641844,0.7579411,0.7715229,16.2408569,4.274615695395646,12.7637556,193.1864346,16.3217042,193.9611229,27.7374201,16.6671598,13.8119439,197.5374768,31.0781987,11.9792962,13.6368723,195.5746587,18.3356685,45.0312503,13.9535818,195.8602165,18.9596148,45.0708969,13.9357294,197.3764076,194.7869785,13.1798188,43.53605316433334,5.3184706,9.9731803,0,77.5968709,21.9676877,49.1438806,13.4458813,191.4109173,194.6291182,13.0940216,3.385159624888889,51.78915293075001,94.05238969138888,145.8415426221389,12.0448421,134.87323971447222,95.2955171,14.6079104,6.7889466,16.3217042,193.9611229,88.5325092,14.9299878,0.9199755,0.2566098,1.3903946,93.7008621,0.1088365,0.1638735,0.8159515,0.0874045,0.6184197,1.3767911
2025-06-18 08:00:00,34.1474658,5.6730072,0.802583,0.8211191,18.3352718,4.356319097249735,12.7548682,193.1779479,16.2810969,193.8903603,28.3623734,17.028547,13.8706787,197.6151748,31.1618482,12.0014828,13.6614662,195.6271796,18.3711981,45.0416253,13.9541914,195.9704417,18.9750593,45.0885019,13.9522872,197.4748983,194.8196634,13.1885125,44.16246299388889,5.1706225,9.9737757,0,78.0072729,22.0090268,49.3879275,13.4604585,191.5839397,194.6223394,13.086943,3.3604667015555556,56.289260344388886,92.46799704283333,148.7572573872222,12.031162,134.76485250180554,95.2485572,14.6118381,6.8129153,16.2810969,193.8903603,88.3823033,14.8882451,0.8486923,0.2541474,1.3915786,93.7685614,0.1131064,0.1200862,0.8412944,0.0918655,0.5864069,1.160499
