Unnamed: 0_level_0,Active Gross Power,Reactive Gross Power,Exhaust Pressure Turbine CW,Exhaust Pressure Turbine CCW,Unnamed: 5_level_0,Unnamed: 6_level_0,Main Steam Press,Main Steam Temp,Brine Header Press,Brine Header Temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,Separator Temp,Separator Pressure,Steam Flow,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,Separator Temp,Separator Pressure,Steam Flow,Main Steam Flowrate,Brine Flowrate,Total Flowrate,Injection Press,Injection Flow,Injection Temp,Valve open,WHP,Brine Header Pressure,Brine Header Temperature,Header Reinjection Pump Temperature,Header Reinjection Pump Pressure,"Opening 
CV-A","Opening 
CV-B",Outlet Temp,Opening Brine Dump Valve A,Opening Brine Dump Valve B,Opening Brine Dump Valve A,Opening Brine Dump Valve B,Opening Steam Dump Valve A,Opening Steam Dump Valve B
Unnamed: 0_level_1,MW,MVAR,Bara,Bara,oC,kg/MW,barg,oC,barg,oC,barg,%,barg,oC,barg.1,%.1,barg.1,oC.1,barg.2,%.2,barg.2,oC.2,barg.3,%.3,barg.3,oC.3,oC,barg,kg/s,barg.4,%.4,barg.4,oC.4,barg.5,%.5,barg.5,oC.5,oC.1,barg.1,kg/s.1,kg/s,kg/s,kg/s,bara,kg/s,oC,%,barg.6,barg,oC,oC,Bara,%,%,oC,%,%,%.1,%.1,%,%
,WT,VART,PT9206,PT9256,TE93X0,,PT2504x,TT2501,PT2503,TT2502,PT2006A,PV2005A,PT2008A,TT2007A,PT2006B,PV2005B,PT2008B,TT2007B,PT2006C,PV2005C,PT2008C,TT2007C,PT2006D,PV2005D,PT2008D,TT2007D,TT2207,PT2208,FT2220,PT2106A,PV2105A,PT2108A,TT2107A,PT2106B,PV2105B,PT2108B,TT2107B,TT2307,PT2308,FT2320,FT2527,FT2505,,PT2702A,FT2703A,TT2704A,PV2705A,PT2703A,PT-2503,TT-2502,TT-2601,PT-2603,PV-2503A,PV-2503B,TE-9124,LV-2227A,LV-2227B,LV-2327A,LV-2327A,PV-2430A,PV-2430A
2025-06-16 01:00:00,34.1567941,2.6314763,0.8605531,0.8704672,17.5855898,4.3456453638238255,12.893964,193.6195042,15.9579719,193.8729703,26.7930189,17.4582342,13.9846367,198.0217197,30.1911579,17.4351011,13.8159342,195.9902522,19.2513469,41.9746237,14.1328298,196.2446356,20.4108955,41.6991207,14.0797512,197.7908488,195.2366696,13.325418,43.97083223852778,7.1893468,9.970895,0,80.9496954,22.0403972,48.3355925,13.5768985,191.6164981,195.1261679,13.2268294,3.6527567312499998,51.779216759,96.65409716475,148.43331392375,12.546617,134.6135005298611,93.7887603,14.5746236,7.0432378,15.9579719,193.8729703,89.4162806,15.2390507,1.0393319,0.2990963,91.1699982,0.1071771,0.146096,0.0687557,0.0847405,1.5462479,1.0506855
2025-06-16 02:00:00,34.2853842,2.8820776,0.8879223,0.9081323,18.2713263,4.301654960958715,12.8644047,193.5142633,15.8333568,193.770342,27.679472,16.534814,13.9640728,197.9713177,30.2023671,17.1966756,13.7951078,195.8714162,19.277499,41.9742718,14.1121929,196.1691991,20.3652891,41.8692643,14.0600715,197.8042087,195.1687425,13.3043847,44.650570718833336,7.3301065,9.9696792,0,80.8359807,22.0376098,49.0713129,13.5513724,191.4962476,195.0111869,13.2000628,4.181024625361111,52.63314489186111,94.85074814044445,147.48389303230556,12.4884853,133.93973695536113,94.4051805,14.5749926,7.0564065,15.8333568,193.770342,89.7479555,15.1123481,1.0332874,0.3022925,90.9328657,0.1072673,0.1444101,0.0687747,0.0847092,0.9034089,0.4002222
2025-06-16 03:00:00,33.9564462,3.1619506,0.90562,0.9325147,18.9943014,4.322307078712101,12.7911911,193.2370455,15.7158944,193.7648588,27.1484509,16.1002568,13.8773018,197.6575364,30.1980463,17.000368,13.7161571,195.5554919,19.2072431,41.9730845,14.032983,195.9219997,20.2296851,42.4127041,13.9855549,197.4956999,194.8809676,13.224725,44.35526368197222,7.3307322,9.9662701,0,80.6768422,22.034573,49.4508876,13.4842754,191.2576156,194.7300891,13.1273516,3.9533599032777778,51.803034179638885,94.96715359852777,146.77018777816664,12.3520172,133.46006508180557,94.2184078,14.5752578,6.9481774,15.7158944,193.7648588,89.6590536,14.9831088,1.0273987,0.2986191,90.9342438,0.1075933,0.1372056,0.0689765,0.0849231,0.8991752,0.3997211
2025-06-16 04:00:00,34.0266928,2.8616847,0.8989597,0.9309363,19.0880494,4.364457883668874,12.8053747,193.2784599,16.0216105,193.8083948,27.1034236,16.0987536,13.9001412,197.7019694,30.1913445,16.9996873,13.7348501,195.5647699,19.221362,41.9957244,14.0534274,195.9790104,20.2030859,42.8969297,14.011911,197.6081595,194.9270326,13.2399151,44.37352093458333,7.2999867,9.9640951,0,80.5016765,22.0223929,49.2678542,13.4969641,191.2921378,194.7830642,13.1405631,3.949085384,51.68611606286111,96.82195158327778,148.5080676461389,12.6834888,134.81802314602777,94.5810422,14.5753038,7.1859623,16.0216105,193.8083948,89.7516929,15.2761744,1.0294267,0.2948789,91.0756608,0.1076324,0.1349326,0.0690139,0.084961,0.8961243,0.3985101
2025-06-16 05:00:00,34.163868,3.5957315,0.8848649,0.920868,18.9345309,4.23736934612143,12.8238217,193.4031838,15.7975628,193.906893,27.5523021,16.1005141,13.925784,197.8739061,30.1992627,16.523977,13.7584131,195.6393592,19.2013251,42.0260702,14.0738641,196.0449674,20.031291,42.8365515,14.031365,197.7809944,195.0876885,13.2692794,44.812638673361114,7.1988865,9.966449,0,80.3028527,22.0143347,49.2968803,13.5176409,191.4299112,194.9272474,13.1619226,3.9902754750833336,51.967648562777775,92.7972784453611,144.76492700813887,12.2536863,132.58401176525,94.3448725,14.5752717,6.9340079,15.7975628,193.906893,88.8996545,15.0467359,1.0341111,0.2960574,90.6188667,0.1072375,0.1405884,0.068803,0.0846021,0.8989452,0.3975427
2025-06-16 06:00:00,33.970634,3.7818982,0.8627502,0.9014327,18.6743921,4.312689562506481,12.7618754,193.182889,16.2129841,193.738672,27.1766609,16.1024957,13.850483,197.5845442,30.2075485,16.0214898,13.6852224,195.3645635,19.204148,41.998818,14.0026839,195.7524042,19.879138,42.8742033,13.9541438,197.4057322,194.8244081,13.1936721,44.18540652713889,7.0186001,9.9699055,0,80.0946284,22.0044434,50.0029948,13.4591083,191.2230148,194.6976002,13.0998491,3.8399756930277777,50.836446189944446,95.66835249358334,146.50479868352778,12.4695605,134.1017824341111,93.6191506,14.5754943,7.01096,16.2129841,193.738672,88.938608,15.4523842,1.03726,0.2969766,91.1731614,0.1076782,0.1402945,0.0694165,0.0856876,0.8980229,0.4023423
2025-06-16 07:00:00,34.060749,2.789648,0.879531,0.9166795,18.7961236,4.314494824953954,12.7830467,193.2355794,16.0695276,193.7201938,27.713331,16.0974666,13.8863662,197.6802379,30.218864,15.9924484,13.7135727,195.4410689,19.1932883,41.9671369,14.0260419,195.7197962,19.875899,42.9623061,13.9773585,197.3675231,194.8907609,13.2199787,44.497408791472225,6.9184639,9.9716708,0,79.9035315,21.986716,50.2137601,13.4817087,191.242787,194.7472584,13.1217506,3.947333786083333,51.79643351125,95.15849178330555,146.95492529455555,12.4449111,133.90208032741668,93.8358894,14.5758498,7.0202303,16.0695276,193.7201938,89.0702826,15.2636122,1.029815,0.302977,92.1694359,0.1109234,0.1240108,0.0721874,0.0893427,0.8698669,0.402094
2025-06-16 08:00:00,33.8201524,3.7286354,0.9001867,0.9336674,19.1459368,4.337074614382381,12.7442156,193.1228947,15.896498,193.6875796,27.2577367,16.7052803,13.8403595,197.5359364,30.2317477,16.6259385,13.6694838,195.348289,19.1579069,41.9732381,13.9780678,195.6135771,19.8771083,43.019484,13.9364971,197.269607,194.7662958,13.1772713,44.31356085758334,6.8533372,9.9739392,0,79.7639877,21.983531,50.5771111,13.4489429,191.1832739,194.6285833,13.0825161,3.901668100083333,51.71750100533333,94.96302342325,146.68052442858334,12.4561879,133.60289456788888,93.9655524,14.5765537,7.01074,15.896498,193.6875796,89.4051998,15.0581539,1.0071969,0.3038878,92.7021223,0.1144537,0.1146389,0.075609,0.0929202,1.4453864,4.2015751
