Unnamed: 0_level_0,Active Gross Power,Reactive Gross Power,Exhaust Pressure Turbine CW,Exhaust Pressure Turbine CCW,Unnamed: 5_level_0,Unnamed: 6_level_0,Main Steam Press,Main Steam Temp,Brine Header Press,Brine Header Temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,Separator Temp,Separator Pressure,Steam Flow,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,Separator Temp,Separator Pressure,Steam Flow,Main Steam Flowrate,Brine Flowrate,Total Flowrate,Injection Press,Injection Flow,Injection Temp,Valve open,WHP,Brine Header Pressure,Brine Header Temperature,Header Reinjection Pump Temperature,Header Reinjection Pump Pressure,"Opening 
CV-A","Opening 
CV-B",Outlet Temp,Opening Brine Dump Valve A,Opening Brine Dump Valve B,Opening Brine Dump Valve A,Opening Brine Dump Valve B,Opening Steam Dump Valve A,Opening Steam Dump Valve B
Unnamed: 0_level_1,MW,MVAR,Bara,Bara,oC,kg/MW,barg,oC,barg,oC,barg,%,barg,oC,barg.1,%.1,barg.1,oC.1,barg.2,%.2,barg.2,oC.2,barg.3,%.3,barg.3,oC.3,oC,barg,kg/s,barg.4,%.4,barg.4,oC.4,barg.5,%.5,barg.5,oC.5,oC.1,barg.1,kg/s.1,kg/s,kg/s,kg/s,bara,kg/s,oC,%,barg.6,barg,oC,oC,Bara,%,%,oC,%,%,%.1,%.1,%,%
,WT,VART,PT9206,PT9256,TE93X0,,PT2504x,TT2501,PT2503,TT2502,PT2006A,PV2005A,PT2008A,TT2007A,PT2006B,PV2005B,PT2008B,TT2007B,PT2006C,PV2005C,PT2008C,TT2007C,PT2006D,PV2005D,PT2008D,TT2007D,TT2207,PT2208,FT2220,PT2106A,PV2105A,PT2108A,TT2107A,PT2106B,PV2105B,PT2108B,TT2107B,TT2307,PT2308,FT2320,FT2527,FT2505,,PT2702A,FT2703A,TT2704A,PV2705A,PT2703A,PT-2503,TT-2502,TT-2601,PT-2603,PV-2503A,PV-2503B,TE-9124,LV-2227A,LV-2227B,LV-2327A,LV-2327A,PV-2430A,PV-2430A
2025-06-15 01:00:00,34.571834,3.0995545,0.806532,0.8226606,18.712182,3.8195879720026484,12.9898623,193.9621585,13.989176,194.199522,27.8948053,20.0376318,14.1071898,198.5008706,29.4397866,20.7007623,13.8987551,196.3206273,19.4087083,39.9042516,14.1885414,196.9419117,20.539943,38.6808066,14.0932349,197.4475471,195.6292344,13.4336932,44.81885797263889,6.1325299,9.9703502,0,81.6089561,22.5033979,42.1789424,13.6553623,192.2055193,195.4589124,13.3186866,2.7429838448333332,52.52531015236111,79.5248511641111,132.0501613164722,7.4280734,127.71108905169444,91.6925743,12.8907582,6.2890937,13.989176,194.199522,88.8994932,13.3423886,1.1729194,0.4561746,91.1699982,0.1071771,0.146096,0.0687557,0.0847405,1.5462479,1.0506855
2025-06-15 02:00:00,34.3423441,1.4134673,0.8038591,0.8182518,18.3435896,3.4319996456510893,12.9890776,193.9362095,13.7018665,194.0211787,27.6054858,20.0430737,14.0894256,198.4301582,29.4982146,20.2704597,13.8878278,196.2678588,19.5620029,40.2567721,14.1892319,196.896696,20.4680114,37.8503467,14.0691903,197.4523397,195.5964154,13.4287213,44.698077777583336,6.1125503,9.9690091,0,81.6741169,22.5252249,41.8831587,13.6552809,192.2013491,195.3901107,13.3166688,3.0742331238333334,50.884544118638885,66.97836866338889,117.86291278202778,7.0671633,126.23013916475,91.6570788,12.8909544,5.9533732,13.7018665,194.0211787,88.3533668,13.0090128,1.0878963,0.3684252,90.9328657,0.1072673,0.1444101,0.0687747,0.0847092,0.9034089,0.4002222
2025-06-15 03:00:00,34.2206987,0.7775963,0.8145522,0.8275719,17.4890339,3.4597090968684205,12.8742364,193.5405827,13.6475655,193.6772176,27.4105183,20.0508695,13.9651655,198.0515094,29.5481504,19.8767564,13.7678756,195.8568087,19.4136428,38.4301893,14.0414074,196.4487057,20.4388761,39.5654672,13.9723974,196.9802159,195.2031965,13.3122408,44.51445958772222,6.1318294,9.9723528,0,81.6616873,22.525683,43.5062351,13.5543202,191.8295927,195.019008,13.2069812,3.911792453722222,51.008490771194445,67.38517182238888,118.39366259358333,6.9745431,125.96555913033335,91.5823976,12.8906268,5.861552,13.6475655,193.6772176,88.0454804,12.9689555,1.0904129,0.365307,90.9342438,0.1075933,0.1372056,0.0689765,0.0849231,0.8991752,0.3997211
2025-06-15 04:00:00,34.3907899,1.0054104,0.798754,0.8113152,16.8336964,3.8541327122617535,12.8782861,193.552854,13.8804155,193.7584981,27.2588811,20.0579576,13.9567862,198.0399871,29.59565,19.8807299,13.7635986,195.8158003,19.3424238,37.6165778,14.0209829,196.2248408,20.7943494,40.278564,13.9927589,196.9704976,195.193305,13.3114407,44.21069487097222,6.2561811,9.9760385,0,81.576749,22.4740938,44.2320269,13.5599019,191.7280071,195.0766973,13.2125865,3.849378918111111,51.31463000941667,81.23203834469444,132.54666835411112,7.1326688,127.56264231908334,91.7017164,12.8904496,5.9896676,13.8804155,193.7584981,88.2173833,13.2128815,1.092291,0.3656192,91.0756608,0.1076324,0.1349326,0.0690139,0.084961,0.8961243,0.3985101
2025-06-15 05:00:00,34.5328122,1.603174,0.7810993,0.790435,16.8242145,3.804933515774374,13.0118734,193.9650055,14.0669602,193.92107,27.1100891,19.9888537,14.0917562,198.4312673,29.6429615,19.807878,13.9039036,196.2049913,19.879118,39.2588214,14.19763,196.6458586,20.728431,39.3566765,14.1212172,197.4859516,195.5949545,13.4444482,44.283247589055556,6.3681773,9.9728218,0,81.4944939,22.4297667,43.2248328,13.6787638,191.9961957,195.4585534,13.3410013,3.4070083960277775,49.29126071747222,82.10379381624999,131.3950545337222,7.1825635,128.62167440758333,91.9654838,12.890474,6.0190426,14.0669602,193.92107,88.4246034,13.3806857,1.0878652,0.3662548,90.6188667,0.1072375,0.1405884,0.068803,0.0846021,0.8989452,0.3975427
2025-06-15 06:00:00,34.460175,2.0607048,0.7976461,0.8090248,17.6720103,3.928062546160571,13.0758412,194.1805714,14.3796181,194.2496486,26.5822513,19.4196239,14.1584001,198.5811663,29.6882346,19.6301197,13.976139,196.5193251,20.1152112,41.2349058,14.2996711,197.0293708,20.5066872,39.0274553,14.185848,197.6906999,195.7806111,13.5008297,43.96434001025,6.4332265,9.9716881,0,81.4638271,22.4427359,43.8272063,13.7395498,192.2350531,195.6328162,13.4009999,3.620279171111111,48.70208851194444,86.65963423969444,135.36172275163887,7.6353181,132.10443670808334,91.9594684,12.8909612,6.4059149,14.3796181,194.2496486,89.0017232,13.6663966,1.0765759,0.365974,91.1731614,0.1076782,0.1402945,0.0694165,0.0856876,0.8980229,0.4023423
2025-06-15 07:00:00,34.4311078,2.6835987,0.8221658,0.8386997,19.0014519,4.037292940549017,13.0019732,193.9776295,14.4184405,194.3955375,26.6419601,18.5246399,14.0972146,198.4014513,29.7211442,19.6426936,13.9138301,196.4694635,19.5685073,41.9611638,14.2014434,196.8026296,20.5395044,39.6064568,14.1463854,197.7246006,195.5967199,13.4333863,44.04476920077778,6.3106371,9.9780046,0,81.623402,22.4729994,45.9206945,13.686151,192.2574133,195.4523862,13.3305073,3.490151983083333,51.485922439583334,87.52254601663888,139.0084684562222,7.8721479,133.3429872487222,92.4391196,12.893013,6.6275842,14.4184405,194.3955375,89.3214458,13.7093993,1.0463583,0.3662039,92.1694359,0.1109234,0.1240108,0.0721874,0.0893427,0.8698669,0.402094
2025-06-15 08:00:00,34.5753552,3.3588863,0.8443428,0.8625826,19.7111455,3.9813603139562903,12.9836982,193.9549107,14.3051027,194.3349585,27.1699113,18.1262203,14.1274175,198.4768233,29.7614554,19.7639463,13.9289491,196.5191698,19.3713346,41.9700073,14.1928933,196.791475,20.7781911,39.4589953,14.1603271,197.9584022,195.6477555,13.4400242,44.91502131025,6.0856441,9.9781612,0,81.9541598,22.4985841,46.1178446,13.6891139,192.4050768,195.4449934,13.3154511,3.3074402358888886,54.72918056177778,82.92776647244445,137.65694703422224,7.5393386,130.76614747475,92.5017082,12.896647,6.3507151,14.3051027,194.3349585,88.74108,13.5948784,0.9949485,0.3491264,92.7021223,0.1144537,0.1146389,0.075609,0.0929202,1.4453864,4.2015751
