Unnamed: 0_level_0,Active Gross Power,Reactive Gross Power,Exhaust Pressure Turbine CW,Exhaust Pressure Turbine CCW,Unnamed: 5_level_0,Unnamed: 6_level_0,Main Steam Press,Main Steam Temp,Brine Header Press,Brine Header Temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,Separator Temp,Separator Pressure,Steam Flow,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,Separator Temp,Separator Pressure,Steam Flow,Main Steam Flowrate,Brine Flowrate,Total Flowrate,Injection Press,Injection Flow,Injection Temp,Valve open,WHP,Brine Header Pressure,Brine Header Temperature,Header Reinjection Pump Temperature,Header Reinjection Pump Pressure,"Opening 
CV-A","Opening 
CV-B",Outlet Temp,Opening Brine Dump Valve A,Opening Brine Dump Valve B,Opening Brine Dump Valve A,Opening Brine Dump Valve B,Opening Steam Dump Valve A,Opening Steam Dump Valve B
Unnamed: 0_level_1,MW,MVAR,Bara,Bara,oC,kg/MW,barg,oC,barg,oC,barg,%,barg,oC,barg.1,%.1,barg.1,oC.1,barg.2,%.2,barg.2,oC.2,barg.3,%.3,barg.3,oC.3,oC,barg,kg/s,barg.4,%.4,barg.4,oC.4,barg.5,%.5,barg.5,oC.5,oC.1,barg.1,kg/s.1,kg/s,kg/s,kg/s,bara,kg/s,oC,%,barg.6,barg,oC,oC,Bara,%,%,oC,%,%,%.1,%.1,%,%
,WT,VART,PT9206,PT9256,TE93X0,,PT2504x,TT2501,PT2503,TT2502,PT2006A,PV2005A,PT2008A,TT2007A,PT2006B,PV2005B,PT2008B,TT2007B,PT2006C,PV2005C,PT2008C,TT2007C,PT2006D,PV2005D,PT2008D,TT2007D,TT2207,PT2208,FT2220,PT2106A,PV2105A,PT2108A,TT2107A,PT2106B,PV2105B,PT2108B,TT2107B,TT2307,PT2308,FT2320,FT2527,FT2505,,PT2702A,FT2703A,TT2704A,PV2705A,PT2703A,PT-2503,TT-2502,TT-2601,PT-2603,PV-2503A,PV-2503B,TE-9124,LV-2227A,LV-2227B,LV-2327A,LV-2327A,PV-2430A,PV-2430A
2025-06-11 01:00:00,34.2319815,5.9874958,0.8876576,0.9270481,18.2260579,1.9595853939433476,12.5977808,192.6145662,17.8726007,192.0448828,22.2284432,40.0541486,14.4335777,199.4736925,21.0599201,39.9698673,14.0826079,196.717647,19.8750581,39.4538954,14.2690169,196.9339602,20.0138954,42.0739071,14.2393387,198.2484603,194.8208937,13.1700751,52.19668263625,3.9500081,9.965425,0,75.3281662,20.9107062,57.9414624,13.3923912,191.0387032,194.2966825,12.9960059,3.2106174630277775,59.56326091863889,7.5172300345,67.08049095313889,15.0654053,131.96864515744443,124.1080293,99.9589336,15.0391923,17.8726007,192.0448828,121.6851721,14.8725607,1.20752,38.9851126,75.3643247,16.3631894,0.1397027,0.0701724,17.5176232,0.7266245,0.3448098
2025-06-11 02:00:00,34.486762,5.8234673,0.8922219,0.9310079,18.2254004,1.9003040952891173,12.6849614,192.9059844,17.9678645,191.5880867,22.1371821,40.0528804,14.5123641,199.7388693,21.1424722,39.9678603,14.1535375,196.9397119,19.8264638,38.5382895,14.3225045,197.1191654,20.0903472,41.6013644,14.3038562,198.499207,195.1598818,13.2762654,52.68943494466667,3.9855258,9.9668207,0,75.2360625,20.8924037,55.0764873,13.458022,191.2317705,194.5710056,13.0795965,3.2382260564444443,58.94662998947222,6.58870507238889,65.5353350618611,15.1425205,132.40184892725,124.2800466,99.9580957,15.1161565,17.9678645,191.5880867,122.4771521,14.9678385,1.2129937,39.3165227,75.9835336,11.6307148,0.1430233,0.0700386,17.4999259,0.8960467,0.3430136
2025-06-11 03:00:00,35.0404156,5.7054779,0.8877678,0.9252264,18.219957,1.8553696334924303,12.7079498,192.9831206,18.0073842,191.482979,21.2227178,40.051039,14.484755,199.6987292,21.2116957,39.9675322,14.1417678,196.9198484,19.7881948,37.4340858,14.2852814,197.0328391,19.9370315,41.5799266,14.2910519,198.5197418,195.2992799,13.3193671,53.64940976422222,4.0710553,9.9693913,0,75.1572511,20.914394,53.7288871,13.4787137,191.2781086,194.6349077,13.1016105,3.192231596666667,59.57634846813889,5.436574581055555,65.01292304919444,15.1947008,132.204564087,125.072568,99.957647,15.1685744,18.0073842,191.482979,122.2700852,15.0072937,1.2120903,39.1348095,75.9225299,2.622351,0.1435872,0.0700855,18.8810463,0.9433456,0.3417276
2025-06-11 04:00:00,35.0128699,6.6682101,0.8696807,0.9075937,17.8696933,1.8606197965945026,12.6329296,192.7364623,17.9381743,191.848473,20.2723018,40.0465348,14.3397458,199.2658924,21.2650482,39.965914,14.0326041,196.6063168,19.8210225,36.4251493,14.1660726,196.7030104,19.9629498,42.0515986,14.2031952,198.3478737,195.0201712,13.2329837,53.47402543655556,4.0973284,9.9730448,0,75.0950462,20.9537756,56.765808,13.4348872,191.1741208,194.4195818,13.0347881,3.258462706388889,59.41848430047222,5.727154571055556,65.14563887152778,15.137837,132.01627627927778,124.8681582,99.9577887,15.1120011,17.9381743,191.848473,121.6759274,14.9383032,1.2071246,38.9513234,75.5625223,0.8541334,0.1458254,0.0699645,19.3840128,0.8228225,0.3411783
2025-06-11 05:00:00,34.9557013,7.0557683,0.8687108,0.9042293,17.5722718,1.858473049990147,12.6266481,192.7150411,17.9411603,191.8392015,19.9726572,40.0436014,14.3105024,199.1805636,21.3412248,39.96299,14.0226821,196.5720507,20.1784886,35.5856768,14.1627381,196.6964381,20.1195008,42.0705736,14.2036861,198.4055492,194.9846407,13.2241545,53.37427999008333,4.0491558,9.9764586,0,75.0223816,20.8611737,58.1609834,13.4275891,191.1734965,194.4130138,13.0318795,3.260462982638889,59.37300393466666,5.591224874888889,64.96422880955555,15.129364,132.18998958333333,124.3893901,99.9567468,15.1033323,17.9411603,191.8392015,121.906942,14.9410784,1.2125149,39.1380765,75.5801457,1.6016382,0.1531092,0.0695348,18.8177022,0.8249565,0.3421807
2025-06-11 06:00:00,34.8680656,6.8672882,0.8781694,0.9106648,17.6068102,1.864942936035558,12.5975369,192.6208471,17.9136285,191.7712914,19.7724668,40.0507464,14.2654468,199.0667727,21.3819726,39.961034,13.9952393,196.5113281,20.633107,35.0915008,14.1343235,196.6343812,19.9781683,42.0696328,14.1732445,198.3225169,194.8971818,13.1958348,53.49533656313889,4.0225085,9.9756206,0,74.9578017,20.7386305,58.2400732,13.3896034,191.0573339,194.3031743,13.0000383,3.179116898861111,59.35733529986111,5.669617334083333,65.02695263394445,15.1092759,131.89807858930556,124.5211566,99.9572488,15.0832268,17.9136285,191.7712914,121.8639046,14.9133546,1.2140124,39.0006301,75.5538686,1.4451905,0.1535252,0.0699534,19.0346377,0.8213926,0.3498527
2025-06-11 07:00:00,34.7724188,6.6654401,0.8879127,0.923461,18.1002108,1.8976049727161923,12.5720605,192.5406752,17.8834924,191.6970639,19.6025429,40.0615366,14.2265828,198.9490712,21.3985863,39.955967,13.9640841,196.4465506,20.7150835,35.0226607,14.0854543,196.533967,19.9262253,42.0660027,14.1398268,198.1878968,194.8196666,13.1709024,53.47390018066667,4.0813574,9.9760373,0,74.9699527,20.7365323,58.2430574,13.3686964,191.0040377,194.2131033,12.9736892,3.2052530099444443,60.224303481,5.76001134725,65.98431482825,15.0825646,131.97100598311113,124.4189525,99.9618185,15.05756,17.8834924,191.6970639,121.8744453,14.8832487,1.1806527,38.9410085,75.7046791,0.9536397,0.1346536,0.0717979,19.0583441,0.7974513,0.3569973
2025-06-11 08:00:00,34.507778,5.8897212,0.8982245,0.9402098,18.7689886,1.9518794683356122,12.5776956,192.5595057,17.8737629,191.8324544,19.5429851,40.0804846,14.2360799,198.8995675,21.3960383,39.9515134,13.9605556,196.3959752,20.5973805,35.0286727,14.0617074,196.406765,19.9579673,42.0677112,14.1278158,198.114371,194.8155533,13.1725601,53.217515224555555,4.2411722,9.9772979,0,75.0421731,20.7537991,58.2478843,13.3796002,191.0286352,194.2213788,12.9758567,3.2130073728055555,61.06296028897222,6.292063087111111,67.35502337608334,15.0786382,132.08937109583334,124.4284107,99.9653176,15.055381,17.8737629,191.8324544,122.166648,14.8736505,1.1169015,38.9354705,76.2572402,0.7927947,0.1159102,0.0739294,18.6930729,0.7492726,0.3545138
