Unnamed: 0_level_0,Active Gross Power,Reactive Gross Power,Exhaust Pressure Turbine CW,Exhaust Pressure Turbine CCW,Unnamed: 5_level_0,Unnamed: 6_level_0,Main Steam Press,Main Steam Temp,Brine Header Press,Brine Header Temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,Separator Temp,Separator Pressure,Steam Flow,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,Separator Temp,Separator Pressure,Steam Flow,Main Steam Flowrate,Brine Flowrate,Total Flowrate,Injection Press,Injection Flow,Injection Temp,Valve open,WHP,Header Reinjection Pump Temperature,Header Reinjection Pump Pressure,"Opening 
CV-A","Opening 
CV-B",Delta Pressure,Outlet Temp,Opening Brine Dump Valve A,Opening Brine Dump Valve B,Opening Brine Dump Valve A,Opening Brine Dump Valve B,Opening Steam Dump Valve A,Opening Steam Dump Valve B
Unnamed: 0_level_1,MW,MVAR,Bara,Bara,oC,kg/MW,barg,oC,barg,oC,barg,%,barg,oC,barg.1,%.1,barg.1,oC.1,barg.2,%.2,barg.2,oC.2,barg.3,%.3,barg.3,oC.3,oC,barg,kg/s,barg.4,%.4,barg.4,oC.4,barg.5,%.5,barg.5,oC.5,oC.1,barg.1,kg/s.1,kg/s,kg/s,kg/s,bara,kg/s,oC,%,barg.6,oC,Bara,%,%,Barg,oC,%,%,%.1,%.1,%,%
,WT,VART,PT9206,PT9256,TE93X0,,PT2504x,TT2501,PT2503,TT2502,PT2006A,PV2005A,PT2008A,TT2007A,PT2006B,PV2005B,PT2008B,TT2007B,PT2006C,PV2005C,PT2008C,TT2007C,PT2006D,PV2005D,PT2008D,TT2007D,TT2207,PT2208,FT2220,PT2106A,PV2105A,PT2108A,TT2107A,PT2106B,PV2105B,PT2108B,TT2107B,TT2307,PT2308,FT2320,FT2527,FT2505,,PT2702A,FT2703A,TT2704A,PV2705A,PT2703A,TT-2601,PT-2603,PV-2503A,PV-2503B,PV-2503,TE-9124,LV-2227A,LV-2227B,LV-2327A,LV-2327A,PV-2430A,PV-2430A
2025-06-21 01:00:00,34.409649,5.451547,0.8427352,0.846606,16.8371349,4.167764747582543,12.5847548,192.5691601,16.0232804,193.3264289,27.0544287,22.0404252,13.7494682,197.2761065,32.099822,10.1071145,13.4889353,195.1377273,18.3357319,44.9930286,13.8257666,195.3865954,18.6147595,46.000826,13.7805144,196.6385583,194.2448191,13.0239523,44.9262248195,0.0484335,9.9700969,0,81.5397806,21.2816186,53.1677154,13.2931437,190.7708681,194.0759729,12.9300342,3.508549927361111,49.903097177444444,93.50822490144445,143.4113220788889,10.5634043,134.50092617222222,95.6840726,16.7228716,6.5731138,83.1295068,14.1342321,0.8155644,0.1893259,1.8878355,93.416424,0.1068977,0.1475485,0.0691494,0.0847735,0.9658778,0.3734689
2025-06-21 02:00:00,34.4293553,5.5543926,0.8073677,0.8134678,16.2650571,4.1543500621353004,12.6257594,192.7156807,16.0096781,193.4564699,27.0892296,22.0424896,13.778482,197.3795118,32.1050869,10.1101755,13.5200614,195.2249098,18.3296135,44.9927479,13.8537973,195.4646668,18.6100567,45.5033582,13.806368,196.7803099,194.3744847,13.0606747,44.68273620772222,0.0477198,9.9670854,0,81.4159947,21.2786066,53.0247796,13.3282759,190.891165,194.2131752,12.9686283,3.621409758111111,49.36694181122222,93.6646525186111,143.03159432983333,10.5374875,134.33452793116666,96.2754364,16.7229877,6.5508012,82.8763187,14.0985733,0.8217338,0.1912243,1.9097925,93.5696691,0.1065664,0.1558051,0.0687062,0.084329,0.9303096,0.3717503
2025-06-21 03:00:00,34.5073746,5.4517513,0.7748323,0.7899609,16.0278218,4.131090722902396,12.6010796,192.6217048,15.9752729,193.48138,27.0929407,22.0409718,13.7529269,197.2961884,32.1150516,10.1098858,13.4938207,195.1109005,18.3352568,44.9923511,13.8250752,195.3748699,18.6239877,45.0541871,13.7778107,196.6718986,194.2768758,13.0341093,44.59195259286111,0.0454679,9.9688425,0,81.318082,21.283072,53.0927753,13.3057561,190.8284111,194.1129555,12.9437001,3.6064262797777777,49.25978957202778,93.29330550975,142.55309508177777,10.4398801,133.79732739622222,95.5414355,16.7233503,6.476671,83.1334626,14.073521,0.8175321,0.1937884,1.9004458,93.7525278,0.1066701,0.1537792,0.5015134,0.0842925,0.8832074,0.3724161
2025-06-21 04:00:00,34.4810708,6.3239701,0.8228266,0.8285559,16.3093942,4.200613167867939,12.538447,192.4098214,16.1039854,193.3290659,27.0618845,22.3824216,13.7187239,197.1763604,32.1078001,10.6097314,13.4531842,194.9753949,18.3542598,45.3381565,13.793719,195.2961559,18.7047357,45.3827932,13.7459274,196.5317653,194.092674,12.9787692,45.038103851833334,0.0450037,9.9705676,0,81.2342212,21.2856009,53.9429017,13.2496984,190.6449354,193.9110484,12.8854017,3.4456916513611113,50.06452489563889,94.77711514902778,144.84164004466666,10.7476307,135.53521103630555,96.0614355,16.7234539,6.6907648,83.3209124,14.154434,0.8158421,0.1922259,1.9479976,94.0545447,0.1067734,0.152233,0.5018247,0.0843711,0.8607429,0.3723955
2025-06-21 05:00:00,34.7123508,6.107376,0.8394304,0.839759,16.2108352,4.185088173004116,12.6701631,192.8428603,16.1668722,193.5223517,26.929434,23.2502449,13.8697228,197.6551393,32.1001961,11.5416907,13.5978909,195.4247302,18.2911549,45.8545095,13.9347839,195.6907112,18.7304797,45.8727773,13.8878953,196.9327301,194.5442513,13.1190406,45.33823891308333,0.041071,9.9691802,0,81.1179348,21.2752312,54.5627751,13.371355,190.9524505,194.3407371,13.0153711,3.555483083611111,50.39755372483334,94.87669506541667,145.27424879025,10.8837346,135.84877655780556,96.514142,16.7232028,6.8117948,83.5519856,14.1843042,0.824012,0.1896286,1.9809971,94.4575713,0.1064905,0.1582632,0.6037958,0.0841368,1.2213193,0.371501
2025-06-21 06:00:00,35.0170294,5.03566,0.7973562,0.8010087,15.9470379,4.117266990436881,12.7860351,193.2626468,16.156057,193.8969739,26.6437634,24.0250035,13.984851,198.0577905,32.1042114,11.782315,13.7085704,195.8133571,18.1704109,46.0250959,14.030622,195.9884055,18.6526107,46.0377511,13.991776,197.2205845,194.957203,13.2356524,45.16740694072222,0.0392486,9.9700622,0,81.0032442,21.2793083,53.6012655,13.4805074,191.3359065,194.7478152,13.1274586,3.533770108638889,49.67357940149999,94.50087985027777,144.17445925177776,10.8173205,135.3622605906389,96.3649201,16.7229088,6.7692927,83.2596179,14.1571248,0.8219595,0.1949034,1.9973807,93.7569464,0.1064713,0.1584659,0.6041551,0.0841288,1.5098676,0.3726228
2025-06-21 07:00:00,34.9812092,6.0808,0.7966288,0.797237,16.8504118,4.146874562515123,12.7419739,193.1304928,16.2949861,193.9871456,26.5633177,24.1818349,13.9545627,197.9619263,32.1090713,10.8495839,13.6721446,195.7475817,18.1732942,46.0304283,13.9782005,195.9266352,18.626423,46.0451418,13.9585295,197.1161619,194.8354479,13.1940853,45.21428596730556,0.0482711,9.9714236,0,80.9899222,21.3128338,53.4809098,13.4497025,191.338965,194.6202294,13.0847773,3.453153675666667,49.362421491,95.7002651065,145.0626865975,11.0207438,136.91474014125,96.6801252,16.7241438,6.9148672,82.5787001,14.2514297,0.7948471,0.2008228,2.0418513,93.7420457,0.1079788,0.1380185,0.5638178,0.0859974,1.1747407,0.3790191
2025-06-21 08:00:00,34.4276924,7.5363519,0.8533078,0.8705911,18.8063299,4.23854570777238,12.6488023,192.7889485,16.4865947,193.834635,26.0333992,23.9925211,13.8716742,197.5941746,32.1302808,10.3028982,13.58433,195.4454019,18.2092552,46.0364208,13.8740828,195.6962908,18.6582571,46.0611407,13.8736179,196.819466,194.4747134,13.0954707,44.86376388941667,0.0629977,9.9757432,0,81.1105677,21.3472032,54.7626466,13.3752025,191.105648,194.2784345,12.9921619,3.4894229690833334,48.561328848833334,97.36201900169443,145.92334785052776,11.5934368,137.79331145661112,96.0901416,16.1575887,7.0019567,83.337934,14.4308823,0.7514111,0.2048011,2.0541779,94.6237644,0.1108012,0.1161369,1.2464939,0.089266,0.8223767,0.3842807
