Unnamed: 0_level_0,Active Gross Power,Reactive Gross Power,Exhaust Pressure Turbine CW,Exhaust Pressure Turbine CCW,Unnamed: 5_level_0,Unnamed: 6_level_0,Main Steam Press,Main Steam Temp,Brine Header Press,Brine Header Temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,Separator Temp,Separator Pressure,Steam Flow,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,Separator Temp,Separator Pressure,Steam Flow,Main Steam Flowrate,Brine Flowrate,Total Flowrate,Injection Press,Injection Flow,Injection Temp,Valve open,WHP,Brine Header Pressure,Brine Header Temperature,Header Reinjection Pump Temperature,Header Reinjection Pump Pressure,"Opening 
CV-A","Opening 
CV-B",Outlet Temp,Opening Brine Dump Valve A,Opening Brine Dump Valve B,Opening Brine Dump Valve A,Opening Brine Dump Valve B,Opening Steam Dump Valve A,Opening Steam Dump Valve B
Unnamed: 0_level_1,MW,MVAR,Bara,Bara,oC,kg/MW,barg,oC,barg,oC,barg,%,barg,oC,barg.1,%.1,barg.1,oC.1,barg.2,%.2,barg.2,oC.2,barg.3,%.3,barg.3,oC.3,oC,barg,kg/s,barg.4,%.4,barg.4,oC.4,barg.5,%.5,barg.5,oC.5,oC.1,barg.1,kg/s.1,kg/s,kg/s,kg/s,bara,kg/s,oC,%,barg.6,barg,oC,oC,Bara,%,%,oC,%,%,%.1,%.1,%,%
,WT,VART,PT9206,PT9256,TE93X0,,PT2504x,TT2501,PT2503,TT2502,PT2006A,PV2005A,PT2008A,TT2007A,PT2006B,PV2005B,PT2008B,TT2007B,PT2006C,PV2005C,PT2008C,TT2007C,PT2006D,PV2005D,PT2008D,TT2007D,TT2207,PT2208,FT2220,PT2106A,PV2105A,PT2108A,TT2107A,PT2106B,PV2105B,PT2108B,TT2107B,TT2307,PT2308,FT2320,FT2527,FT2505,,PT2702A,FT2703A,TT2704A,PV2705A,PT2703A,PT-2503,TT-2502,TT-2601,PT-2603,PV-2503A,PV-2503B,TE-9124,LV-2227A,LV-2227B,LV-2327A,LV-2327A,PV-2430A,PV-2430A
2025-06-10 01:00:00,34.9589248,6.4124087,0.8865443,0.92561,18.5182075,1.9234223804830646,12.7444006,193.1204162,18.0535203,192.2654268,20.0815976,38.0516989,14.4110139,199.4762111,23.4247256,37.9959201,14.2094792,197.2501853,21.4482309,34.911612,14.2956318,197.0895872,20.6340624,39.5287685,14.2880418,198.4102547,195.4219326,13.3765146,54.21434504269445,2.1641823,9.9690662,0,75.8770036,21.8969773,47.5758893,13.4815567,191.2943454,194.7144177,13.1271939,2.9592736589722226,61.08063347686111,6.160144881083333,67.24077835794444,15.0962259,132.54541661844445,124.7683341,99.9584465,15.0702644,18.0535203,192.2654268,121.9058585,15.0539583,1.2361286,38.7868551,75.8313478,0.35875,0.1378306,0.069958,19.175342,0.7601812,0.3422886
2025-06-10 02:00:00,34.9994161,5.8237686,0.8903926,0.9318113,18.5567425,1.8825338634681141,12.7371223,193.1024456,18.050965,192.1921664,20.0031342,38.0546722,14.3994822,199.4497754,23.1439146,37.9953991,14.1953003,197.2261782,21.4109781,35.0195364,14.2854653,197.1161489,20.6867306,40.0199002,14.2933093,198.4765094,195.4139837,13.3720165,54.18711154822222,2.1085002,9.9701561,0,75.8163948,21.8608762,49.0099292,13.4922818,191.3579729,194.7144743,13.1247278,3.013644091194444,60.30395295588889,5.583633053972223,65.88758600986111,15.0929541,132.65444026963888,124.6647064,99.9599975,15.0667235,18.050965,192.1921664,121.7451887,15.0510123,1.2386389,38.8332444,75.4405118,0.3589015,0.1374468,0.0699439,19.5429241,0.760179,0.3426475
2025-06-10 03:00:00,34.7190991,5.9641422,0.8781534,0.921915,18.6216196,1.9029710995254803,12.6417546,192.7823908,17.9298467,192.3235133,19.9294914,38.0565899,14.2843499,199.0867135,22.3775562,37.9963229,14.0656668,196.8165983,20.9992852,35.019757,14.1594166,196.7474406,20.7157405,40.0163907,14.1871833,198.3060835,195.0698228,13.2659956,53.54610287822222,2.0623755,9.9675295,0,75.7728114,21.7967041,49.0244702,13.408111,191.156626,194.4038711,13.0290414,3.08598723125,59.50311581244445,6.566326376416667,66.06944218886112,14.9932024,131.86992746377777,124.5764275,99.9612252,14.967424,17.9298467,192.3235133,121.8399698,14.9297084,1.2336151,38.5454323,75.7916297,0.1072695,0.1337942,0.0702938,18.3363156,0.7513408,0.3441789
2025-06-10 04:00:00,34.5416197,6.6243765,0.8905555,0.9242104,18.5792266,1.9591571272616572,12.5498467,192.4603836,17.84254,192.12921,19.8296151,38.0564445,14.1858247,198.7845267,22.1239149,38.341707,13.9691712,196.431165,20.9743398,35.0209267,14.0674932,196.4724548,20.6305727,40.0192674,14.0942885,198.0604638,194.7398039,13.1679286,53.38558620691666,2.0472943,9.968846,0,75.7152489,21.7384721,50.1785388,13.3274908,190.9197406,194.1013925,12.940426,3.1052726091388885,60.72977704777777,6.942683374638889,67.67246042241666,14.9215998,131.41601825563887,124.5527614,99.9603484,14.8962986,17.84254,192.12921,121.868392,14.8427788,1.232334,38.3089775,76.2612023,0.1071593,0.1370179,0.0702427,18.139341,0.751145,0.3433018
2025-06-10 05:00:00,34.5927781,7.4467203,0.8780677,0.9153841,18.274184,1.9434194653005077,12.559849,192.5001978,17.8598183,192.0378402,19.7637219,38.0580117,14.1894548,198.8049025,21.9627681,38.584063,13.9749209,196.4314105,21.312158,35.0223203,14.0833203,196.5256879,20.5745935,40.0211609,14.102495,198.0914508,194.7743856,13.1765286,53.37877439841667,2.0510088,9.9716159,0,75.6567491,21.6656662,50.1793577,13.3298359,190.9239523,194.1338589,12.9487554,3.0810928814444445,60.30367564736111,6.924602671000001,67.2282783183611,14.936952,131.53196988588888,124.6082844,99.9598037,14.9115454,17.8598183,192.0378402,121.6850339,14.860094,1.2349356,38.34384,76.1455239,0.1717893,0.1393752,0.0701319,18.584708,0.7564729,0.3407137
2025-06-10 06:00:00,34.5406837,7.2599996,0.8625539,0.9077155,18.2764204,1.8914827879711469,12.5692894,192.5204945,17.8603861,192.095623,19.7231678,37.9174176,14.1848439,198.7780085,21.8068943,38.1617783,13.9652799,196.4199807,21.3687929,35.0674094,14.0770783,196.4862045,20.573463,40.0229866,14.1028507,198.0754547,194.7816904,13.183058,53.182907879805555,2.1087793,9.973004,0,75.6310757,21.6430068,50.1882605,13.3365785,190.9094762,194.1421402,12.9561286,3.3012661012222226,58.072279393361114,7.2608293099444445,65.33310870330556,14.9316681,131.83077317933333,124.4386755,99.9612805,14.9061855,17.8603861,192.095623,121.467969,14.8602625,1.2301824,38.412459,75.9183967,0.1723061,0.1350162,0.070808,18.2127599,0.7523724,0.3478247
2025-06-10 07:00:00,34.3434814,6.5511295,0.8694513,0.9137243,18.5129834,1.75932947522984,12.5354056,192.4107001,17.811574,192.0778403,19.7665607,37.4277814,14.1372523,198.6178718,21.6122046,38.2857145,13.9078988,196.2568745,21.095055,35.5558455,14.0158072,196.341764,20.5768645,40.0269988,14.0590471,197.9448107,194.6602586,13.1453971,52.93300535144444,2.2846944,9.9760442,0,75.6652911,21.6388465,50.8107341,13.3262318,190.9011003,194.0377482,12.9246262,3.355687667861111,52.802386769555554,7.619112339472221,60.42149910902778,14.8903503,131.8233411203889,124.265948,99.9645996,14.8658583,17.811574,192.0778403,121.5648296,14.8114952,1.1986145,38.3252102,76.1191705,0.1091112,0.1234045,0.0725652,17.874564,0.7342507,0.3547697
2025-06-10 08:00:00,34.1552167,7.179693,0.8864717,0.93164,19.138085,1.6504408682620886,12.5218381,192.3668564,17.7992807,192.0775374,19.8324567,37.0818715,14.1385121,198.5554449,21.4957003,38.7735098,13.8963269,196.2085986,21.2713873,35.9955016,14.0035818,196.3159489,20.5801558,40.0375929,14.050999,197.9134701,194.6078496,13.1311644,52.67963152211111,2.3619001,9.974648,0,75.7734575,21.596861,51.8084115,13.3477866,190.9838311,194.0177456,12.9169745,3.257457277277778,48.74745985408333,7.623705651944444,56.37116550602778,14.8873989,131.8418362131111,124.3905396,99.9691461,14.8647936,17.7992807,192.0775374,121.9008466,14.8003248,1.1463861,38.3123854,76.6928032,0.7026822,0.1129842,0.0747041,17.8834001,0.6966213,0.3537458
