Unnamed: 0_level_0,Active Gross Power,Reactive Gross Power,Exhaust Pressure Turbine CW,Exhaust Pressure Turbine CCW,Unnamed: 5_level_0,Unnamed: 6_level_0,Main Steam Press,Main Steam Temp,Brine Header Press,Brine Header Temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,Separator Temp,Separator Pressure,Steam Flow,WHP,Valve Open,2 Phase line press,2 Phase line temp,WHP,Valve Open,2 Phase line press,2 Phase line temp,Separator Temp,Separator Pressure,Steam Flow,Main Steam Flowrate,Brine Flowrate,Total Flowrate,Injection Press,Injection Flow,Injection Temp,Valve open,WHP,Header Reinjection Pump Temperature,Header Reinjection Pump Pressure,"Opening 
CV-A","Opening 
CV-B",Delta Pressure,Outlet Temp,Opening Brine Dump Valve A,Opening Brine Dump Valve B,Opening Brine Dump Valve A,Opening Brine Dump Valve B,Opening Steam Dump Valve A,Opening Steam Dump Valve B
Unnamed: 0_level_1,MW,MVAR,Bara,Bara,oC,kg/MW,barg,oC,barg,oC,barg,%,barg,oC,barg.1,%.1,barg.1,oC.1,barg.2,%.2,barg.2,oC.2,barg.3,%.3,barg.3,oC.3,oC,barg,kg/s,barg.4,%.4,barg.4,oC.4,barg.5,%.5,barg.5,oC.5,oC.1,barg.1,kg/s.1,kg/s,kg/s,kg/s,bara,kg/s,oC,%,barg.6,oC,Bara,%,%,Barg,oC,%,%,%.1,%.1,%,%
,WT,VART,PT9206,PT9256,TE93X0,,PT2504x,TT2501,PT2503,TT2502,PT2006A,PV2005A,PT2008A,TT2007A,PT2006B,PV2005B,PT2008B,TT2007B,PT2006C,PV2005C,PT2008C,TT2007C,PT2006D,PV2005D,PT2008D,TT2007D,TT2207,PT2208,FT2220,PT2106A,PV2105A,PT2108A,TT2107A,PT2106B,PV2105B,PT2108B,TT2107B,TT2307,PT2308,FT2320,FT2527,FT2505,,PT2702A,FT2703A,TT2704A,PV2705A,PT2703A,TT-2601,PT-2603,PV-2503A,PV-2503B,PV-2503,TE-9124,LV-2227A,LV-2227B,LV-2327A,LV-2327A,PV-2430A,PV-2430A
2025-06-19 09:00:00,34.113445,7.1919522,0.8311422,0.8489369,19.516242,4.302960410825963,12.7211379,193.0321973,16.3134205,193.6875824,27.2538224,21.8573267,13.9295708,197.6670802,31.8814115,10.0577332,13.6555164,195.6154412,18.3902684,45.0248125,13.9670816,196.0304066,18.782488,46.0905499,13.9512507,197.42777,194.6794614,13.1614173,44.329633543944446,3.4857126,9.9834357,0,80.3871012,21.9888919,49.3536304,13.4437758,191.5646218,194.5264441,13.0529112,3.6288365199999997,51.65627801480556,95.13252529708333,146.7888033118889,12.3159817,136.82531662861112,96.2417595,14.6167402,6.906341,86.9585152,14.7022136,0.7840669,0.2024354,1.6096548,94.2825877,0.1153934,0.1145018,1.7128484,0.0935628,0.5604588,1.3061697
2025-06-19 10:00:00,33.8771675,7.0320526,0.8551257,0.8723205,20.2144561,4.521382944308205,12.6374068,192.7377477,17.0035098,193.6700267,25.4794236,25.2058093,13.8961059,197.4907228,31.9142343,10.0585582,13.5940763,195.3703678,18.442715,45.0197561,13.9195581,195.8750519,18.697185,46.1007233,13.8820567,197.1278759,194.316055,13.0580972,43.403753209722225,3.335661,9.9836775,0,80.7888862,21.993452,50.2443413,13.3678986,191.3096275,194.1771986,12.9654066,3.5880043947500004,51.497912347555555,101.67373498841667,153.17164733597224,13.1402523,140.71394651183334,95.7863488,14.6186425,7.440733,87.4840497,15.3096147,0.7574618,0.1742179,1.6924767,94.3129376,0.1167863,0.1162937,10.2441907,0.0941536,0.523879,0.8396809
2025-06-19 11:00:00,34.069135,5.4060856,0.8746529,0.8929054,20.4578569,4.5399164656163284,12.5733798,192.5008727,17.2647327,193.6905106,25.2456017,27.5103677,13.9123937,197.5352101,31.9401793,10.0603762,13.5716786,195.2602916,18.4282574,45.018167,13.9020845,195.7928328,18.7185028,46.1064361,13.852621,197.0163543,194.0946692,12.9971363,43.638886474,3.0389159,9.9869926,0,81.1152471,21.975813,52.1603478,13.3177303,191.1302479,193.9331491,12.904655,3.2412585606944444,52.86419487613889,101.80683207966668,154.67102695580556,13.3488559,141.25441249602778,96.1712032,14.6195252,7.644893,87.6468687,15.5426468,0.7460461,0.1687975,1.7205897,94.5006818,0.1179152,0.1173483,18.6757523,0.0940877,0.495372,0.40077
2025-06-19 12:00:00,34.576902,4.8049254,0.8772065,0.897114,20.0906887,4.465606320110107,12.7107686,192.984601,17.4487036,194.058947,26.0295816,29.6277248,14.1474969,198.2893369,31.9518337,10.0577734,13.7493226,195.8251959,18.3875483,45.0196971,14.0617012,196.2358071,18.7036128,46.1072078,14.0132034,197.5800074,194.6332124,13.1545219,44.39917242147222,2.8114459,9.9905993,0,81.3709397,21.9290115,52.7657072,13.4521802,191.5169182,194.4337938,13.0434884,3.3364829071111113,53.39838316694444,101.00844893408333,154.40683210102776,13.4712752,141.5611693827778,96.2705063,14.619917,7.7402504,87.0200047,15.6949205,0.7503433,0.1687945,1.7521875,94.3980239,0.1185842,0.1181067,18.6963277,0.0938012,0.4947745,0.5477937
2025-06-19 13:00:00,34.9345947,5.7640439,0.874253,0.8938845,19.7265872,4.580151850968964,12.9276182,193.7250722,17.2383393,194.5880532,26.5770167,28.8603553,14.3685393,198.968464,31.9580427,10.4868487,13.9544953,196.4758212,18.4499201,45.0216578,14.2503347,196.7903331,18.6982717,46.1061306,14.2041175,198.1692365,195.3532491,13.3681777,44.203474940583334,2.8482428,9.9910625,0,81.585023,21.8984244,50.6454942,13.6514104,192.087357,195.1555864,13.2522012,3.381618620611111,52.151889012333335,107.85385956572222,160.00574857805555,12.9302025,146.46660209466668,95.793345,17.4094542,8.309865,87.1003922,15.3426841,0.7595222,0.1644823,1.8940088,94.2628433,0.118694,0.1179189,10.5640705,0.0938893,0.5012333,1.8679948
2025-06-19 14:00:00,35.0375968,5.6915488,0.8655588,0.8840835,19.3900957,4.71522127232799,12.9662012,193.8445456,16.5849134,194.6316144,26.8567913,25.3947898,14.3209657,198.8324136,31.960825,11.4655483,13.9500743,196.4801412,18.5388732,45.0258862,14.2632602,196.8128716,18.7551004,46.0980513,14.2066709,198.1040069,195.4311539,13.3927325,43.56002420361111,3.0265486,9.9860748,0,81.7402568,21.8984304,49.4476595,13.6805429,192.1647284,195.2758269,13.2885975,3.4656656034722224,51.39895058486111,113.81107117775,165.21002176261112,11.8655399,150.50779980577778,95.896228,21.0835965,8.8579095,87.122823,14.5867084,0.788458,0.169827,1.9965318,94.3198105,0.1174722,0.1159705,2.0111769,0.0933852,0.5238464,1.9401645
2025-06-19 15:00:00,35.0246986,4.5738497,0.8484701,0.8654376,18.8900914,4.660269400595689,12.9140176,193.6750911,16.3548101,194.4542981,27.0907378,22.9650586,14.2149003,198.5080644,31.967402,12.0076158,13.8704346,196.2572502,18.5320609,45.0289411,14.2081181,196.5987686,18.7998098,46.0863339,14.136686,197.8845215,195.2532901,13.3379476,43.3260157065,3.0784266,9.9791411,0,81.84376,21.8880169,50.4091759,13.6257776,191.9944114,195.1224605,13.2382502,3.526020116916667,51.204125223194445,112.02040592747221,163.22453115066665,11.70077,148.73478655216667,96.0590172,20.7682972,8.8117371,86.937662,14.3836462,0.8325883,0.185899,1.9695525,94.139483,0.1157102,0.1134204,0.078159,0.0919282,0.5489192,1.0620081
2025-06-19 16:00:00,34.989607,3.3406325,0.8201589,0.8347921,18.1280608,4.5834294129627,12.9338576,193.7226547,16.4255564,194.5205442,27.2521125,22.4645444,14.2122367,198.5337149,31.9607276,11.9922231,13.8733587,196.2766859,18.4678631,45.0286124,14.2196653,196.5808901,18.7669959,46.0704101,14.1435719,197.9217833,195.295952,13.3544163,43.32028221077778,2.9050813,9.9753985,0,81.8605595,21.8446014,50.4134788,13.6258663,191.9702867,195.16197,13.2566824,3.163151157694444,49.218048066,111.15434580580556,160.37239387180557,12.0742167,147.55252698119446,96.2614578,19.3443435,8.753051,87.1694064,14.4650283,0.9382491,0.1987936,1.9590415,94.7475357,0.1126856,0.1119758,0.0750103,0.0893351,0.9504844,1.0797444
2025-06-19 17:00:00,34.9207665,4.0826092,0.7886665,0.8038531,17.4336047,4.529806077224214,12.9301274,193.7322332,16.3815182,194.4170965,27.43341,21.4793933,14.1492779,198.4658716,31.951451,11.9830286,13.8455347,196.2605309,18.4494874,45.0279121,14.1969073,196.5683868,18.7338224,46.0489652,14.1272622,197.8852464,195.296441,13.3432957,43.29110586258333,2.7025982,9.971153,0,81.7887938,21.8038509,50.0069895,13.601401,191.9665112,195.1928092,13.2550712,2.714194855777778,48.21134806283333,109.97295225019444,158.18430031302776,12.0348126,146.72898268108335,96.4788608,19.1193865,8.668438,86.9855561,14.4287513,1.0542408,0.206053,1.9513525,94.7053984,0.1093309,0.1156225,0.0717181,0.0870492,1.5292911,0.6394704
2025-06-19 18:00:00,34.82223,4.9799811,0.7843634,0.798316,17.2207212,4.500058450330754,12.910485,193.665564,16.2990968,194.2370003,27.6451246,20.4679358,14.0891135,198.3102744,31.9536574,11.9813798,13.8118357,196.1474719,18.4760239,45.026938,14.1719181,196.5222523,18.7625464,46.043847,14.1003105,197.7933599,195.2267345,13.3210419,43.23270357427777,2.69493,9.9708154,0,81.7371867,21.7813022,50.8993758,13.5758743,191.8803031,195.1278378,13.2366287,3.0377123927222223,48.53777372616666,108.16429664469443,156.7020703708611,11.8557124,145.47481673436113,96.2101748,19.1183147,8.548544,87.2008567,14.360631,1.0853061,0.2069464,1.9368577,94.5781843,0.1082865,0.1260664,0.0707909,0.0864176,1.5858083,0.4016977
